"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2025","2.5380","2.4993","2.5539","2.4719","36.74M","1.52%"
"03/05/2025","2.4999","2.4540","2.5402","2.4090","38.98M","1.87%"
"03/04/2025","2.4539","2.3854","2.5338","2.2148","77.88M","2.83%"
"03/03/2025","2.3864","2.9386","2.9611","2.2986","115.13M","-18.70%"
"03/02/2025","2.9354","2.1919","2.9910","2.1759","157.59M","34.00%"
"03/01/2025","2.1906","2.1462","2.2197","2.1220","20.59M","2.09%"
"02/28/2025","2.1458","2.1991","2.2016","1.9524","72.30M","-2.37%"
"02/27/2025","2.1979","2.2022","2.2570","2.1467","29.60M","0.00%"
"02/26/2025","2.1978","2.3248","2.3302","2.1533","51.42M","-5.34%"
"02/25/2025","2.3219","2.2783","2.3646","2.0679","105.05M","1.96%"
"02/24/2025","2.2772","2.5773","2.6067","2.2352","50.28M","-11.60%"
"02/23/2025","2.5759","2.5740","2.6007","2.5207","13.27M","0.07%"
"02/22/2025","2.5740","2.5729","2.6095","2.5531","15.38M","0.08%"
"02/21/2025","2.5720","2.6881","2.7141","2.5076","41.83M","-4.32%"
"02/20/2025","2.6882","2.7382","2.7478","2.6672","23.22M","-1.80%"
"02/19/2025","2.7376","2.5632","2.7453","2.5130","28.33M","6.80%"
"02/18/2025","2.5632","2.6603","2.6698","2.4698","31.68M","-3.65%"
"02/17/2025","2.6603","2.7282","2.7642","2.6079","28.36M","-2.49%"
"02/16/2025","2.7283","2.7620","2.8057","2.6899","19.09M","-1.22%"
"02/15/2025","2.7621","2.7389","2.8333","2.7143","26.35M","0.85%"
"02/14/2025","2.7388","2.5597","2.8334","2.5302","56.96M","7.03%"
"02/13/2025","2.5589","2.4732","2.6054","2.4172","29.26M","3.47%"
"02/12/2025","2.4732","2.4132","2.4957","2.3349","33.44M","2.50%"
"02/11/2025","2.4128","2.4233","2.5288","2.3719","30.72M","-0.43%"
"02/10/2025","2.4233","2.3923","2.4732","2.3239","35.83M","1.29%"
"02/09/2025","2.3925","2.4192","2.5081","2.3127","26.16M","-1.11%"
"02/08/2025","2.4193","2.3960","2.4364","2.3510","18.38M","0.96%"
"02/07/2025","2.3964","2.3264","2.5397","2.2686","50.05M","3.07%"
"02/06/2025","2.3250","2.3777","2.4697","2.2775","38.37M","-2.38%"
"02/05/2025","2.3816","2.5281","2.5689","2.3487","41.62M","-5.74%"
"02/04/2025","2.5267","2.7005","2.7859","2.4226","88.91M","-6.42%"
"02/03/2025","2.7000","2.5804","2.7790","1.7882","311.72M","4.64%"
"02/02/2025","2.5803","2.8775","2.9543","2.4687","83.48M","-10.33%"
"02/01/2025","2.8775","3.0363","3.0721","2.8289","20.57M","-5.23%"
"01/31/2025","3.0362","3.1278","3.1336","3.0034","18.31M","-2.89%"
"01/30/2025","3.1266","3.0683","3.1539","3.0474","19.20M","1.89%"
"01/29/2025","3.0685","3.0570","3.1357","2.9689","29.25M","0.34%"
"01/28/2025","3.0582","3.0551","3.2136","3.0055","45.91M","0.11%"
"01/27/2025","3.0548","3.0221","3.0585","2.6651","78.87M","1.04%"
"01/26/2025","3.0233","3.1075","3.1454","3.0138","14.57M","-2.71%"
"01/25/2025","3.1075","3.1004","3.1443","3.0778","11.04M","0.19%"
"01/24/2025","3.1015","3.1189","3.2032","3.0546","22.89M","-0.57%"
"01/23/2025","3.1192","3.1800","3.1829","3.0378","35.69M","-1.90%"
"01/22/2025","3.1796","3.1740","3.2858","3.1340","36.21M","0.18%"
"01/21/2025","3.1739","3.1062","3.2396","3.0145","46.51M","2.20%"
"01/20/2025","3.1057","2.9573","3.3700","2.9126","132.34M","5.05%"
"01/19/2025","2.9563","3.2699","3.2926","2.8468","116.91M","-9.58%"
"01/18/2025","3.2696","3.2930","3.2980","3.0608","63.40M","-0.66%"
"01/17/2025","3.2912","3.2452","3.3526","3.1778","87.40M","1.50%"
"01/16/2025","3.2425","3.1429","3.4009","2.9242","166.92M","3.17%"
"01/15/2025","3.1429","2.6675","3.1999","2.6500","135.74M","17.80%"
"01/14/2025","2.6679","2.5233","2.6992","2.5140","53.71M","5.72%"
"01/13/2025","2.5235","2.5048","2.5634","2.3327","77.97M","0.76%"
"01/12/2025","2.5045","2.5764","2.5829","2.4710","37.40M","-2.79%"
"01/11/2025","2.5765","2.3428","2.6002","2.3251","54.70M","10.06%"
"01/10/2025","2.3409","2.2715","2.3698","2.2473","31.76M","2.98%"
"01/09/2025","2.2731","2.3728","2.3948","2.2356","39.68M","-4.25%"
"01/08/2025","2.3741","2.2709","2.3964","2.2015","56.95M","4.54%"
"01/07/2025","2.2711","2.4200","2.4673","2.2581","56.99M","-6.15%"
"01/06/2025","2.4198","2.3992","2.4584","2.3691","26.38M","0.87%"
"01/05/2025","2.3990","2.4205","2.4284","2.3291","23.08M","-0.88%"
"01/04/2025","2.4203","2.4535","2.5085","2.4007","27.76M","-1.39%"
"01/03/2025","2.4543","2.4027","2.4799","2.3972","40.65M","2.15%"
"01/02/2025","2.4026","2.3328","2.4515","2.3298","56.44M","2.98%"
"01/01/2025","2.3331","2.0839","2.3541","2.0817","45.81M","11.96%"
"12/31/2024","2.0839","2.0586","2.1482","2.0136","25.96M","1.24%"
"12/30/2024","2.0583","2.0939","2.1526","1.9989","49.49M","-1.70%"
"12/29/2024","2.0940","2.1846","2.1979","2.0716","17.13M","-4.13%"
"12/28/2024","2.1841","2.1466","2.2075","2.1344","13.73M","1.77%"
"12/27/2024","2.1461","2.1560","2.2374","2.1155","29.50M","-0.45%"
"12/26/2024","2.1557","2.2974","2.3166","2.1289","34.19M","-6.18%"
"12/25/2024","2.2978","2.3233","2.3321","2.2621","30.35M","-1.10%"
"12/24/2024","2.3234","2.2614","2.3504","2.2139","35.06M","2.74%"
"12/23/2024","2.2615","2.2031","2.2781","2.1326","59.68M","2.68%"
"12/22/2024","2.2025","2.2382","2.2934","2.1605","37.21M","-1.49%"
"12/21/2024","2.2358","2.2797","2.3859","2.1932","62.16M","-1.93%"
"12/20/2024","2.2797","2.2397","2.3551","1.9620","155.75M","1.84%"
"12/19/2024","2.2385","2.3094","2.4308","2.1616","145.27M","-3.12%"
"12/18/2024","2.3107","2.5671","2.5900","2.2431","143.89M","-9.98%"
"12/17/2024","2.5669","2.4846","2.7265","2.4400","115.18M","3.33%"
"12/16/2024","2.4841","2.4471","2.5864","2.3413","108.94M","1.51%"
"12/15/2024","2.4471","2.4006","2.4730","2.3676","50.08M","1.98%"
"12/14/2024","2.3996","2.4223","2.5304","2.3555","73.17M","-0.94%"
"12/13/2024","2.4223","2.3386","2.4790","2.2859","82.22M","3.61%"
"12/12/2024","2.3380","2.3949","2.4837","2.3100","109.37M","-2.36%"
"12/11/2024","2.3946","2.3704","2.4707","2.2319","116.46M","1.00%"
"12/10/2024","2.3709","2.2110","2.4149","1.9018","244.40M","7.06%"
"12/09/2024","2.2145","2.6012","2.6063","1.9902","192.69M","-14.90%"
"12/08/2024","2.6022","2.6107","2.6465","2.4850","80.04M","-0.30%"
"12/07/2024","2.6099","2.4256","2.6192","2.3860","93.96M","7.64%"
"12/06/2024","2.4246","2.2437","2.4636","2.2283","103.92M","7.98%"
"12/05/2024","2.2454","2.3576","2.4935","2.1751","193.72M","-4.76%"
"12/04/2024","2.3576","2.5112","2.6776","2.2894","166.03M","-6.03%"
"12/03/2024","2.5089","2.7233","2.9051","2.2979","359.96M","-7.92%"
"12/02/2024","2.7248","2.2961","2.8694","2.2165","471.00M","18.61%"
"12/01/2024","2.2973","1.9510","2.3511","1.8485","188.06M","17.71%"
"11/30/2024","1.9516","1.8004","1.9569","1.7647","162.34M","8.32%"
"11/29/2024","1.8017","1.5425","1.8147","1.5237","146.32M","16.80%"
"11/28/2024","1.5425","1.4697","1.5461","1.4317","82.21M","4.93%"
"11/27/2024","1.4700","1.3982","1.5206","1.3529","107.87M","5.12%"
"11/26/2024","1.3984","1.4137","1.4584","1.2852","156.08M","-1.15%"
"11/25/2024","1.4147","1.4340","1.5384","1.3567","170.09M","-1.22%"
"11/24/2024","1.4321","1.4681","1.5123","1.2813","166.38M","-2.48%"
"11/23/2024","1.4685","1.4726","1.6315","1.4221","224.00M","-0.24%"
"11/22/2024","1.4720","1.2472","1.4986","1.2472","360.84M","18.07%"
"11/21/2024","1.2467","1.1039","1.2632","1.0780","187.12M","12.91%"
"11/20/2024","1.1042","1.1004","1.1496","1.0560","124.39M","0.33%"
"11/19/2024","1.1006","1.1140","1.1480","1.0691","121.34M","-1.24%"
"11/18/2024","1.1144","1.0549","1.1862","1.0548","240.65M","5.72%"
"11/17/2024","1.0541","1.1204","1.1593","1.0039","328.64M","-5.90%"
"11/16/2024","1.1202","0.8915","1.2665","0.8781","528.81M","25.51%"
"11/15/2024","0.8925","0.7737","0.9264","0.7704","342.51M","15.38%"
"11/14/2024","0.7735","0.6899","0.8465","0.6826","297.79M","12.10%"
"11/13/2024","0.6900","0.7046","0.7470","0.6410","224.93M","-2.02%"
"11/12/2024","0.7042","0.6206","0.7393","0.5973","324.04M","13.45%"
"11/11/2024","0.6207","0.5887","0.6323","0.5703","94.51M","5.51%"
"11/10/2024","0.5883","0.5592","0.6182","0.5555","138.72M","5.20%"
"11/09/2024","0.5592","0.5536","0.5615","0.5438","34.60M","1.03%"
"11/08/2024","0.5535","0.5556","0.5600","0.5413","36.22M","-0.38%"
"11/07/2024","0.5556","0.5418","0.5781","0.5378","64.95M","2.53%"
"11/06/2024","0.5419","0.5142","0.5468","0.5140","63.02M","5.43%"
"11/05/2024","0.5140","0.5037","0.5188","0.5020","27.11M","2.04%"
"11/04/2024","0.5037","0.5031","0.5145","0.4960","29.62M","0.12%"
"11/03/2024","0.5031","0.5105","0.5112","0.4918","30.38M","-1.45%"
"11/02/2024","0.5105","0.5131","0.5160","0.5065","12.30M","-0.51%"
"11/01/2024","0.5131","0.5096","0.5243","0.5027","43.16M","0.69%"
"10/31/2024","0.5096","0.5229","0.5238","0.5033","32.08M","-2.54%"
"10/30/2024","0.5229","0.5284","0.5285","0.5194","23.58M","-1.04%"
"10/29/2024","0.5284","0.5195","0.5308","0.5184","37.47M","1.75%"
"10/28/2024","0.5193","0.5170","0.5217","0.5114","19.03M","0.44%"
"10/27/2024","0.5170","0.5135","0.5181","0.5110","10.34M","0.68%"
"10/26/2024","0.5135","0.5020","0.5153","0.4991","17.28M","2.21%"
"10/25/2024","0.5024","0.5320","0.5321","0.4871","35.84M","-5.56%"
"10/24/2024","0.5320","0.5259","0.5338","0.5243","16.55M","1.16%"
"10/23/2024","0.5259","0.5338","0.5341","0.5120","21.93M","-1.50%"
"10/22/2024","0.5339","0.5449","0.5495","0.5292","29.29M","-2.02%"
"10/21/2024","0.5449","0.5483","0.5607","0.5409","35.17M","-0.58%"
"10/20/2024","0.5481","0.5441","0.5488","0.5371","16.78M","0.75%"
"10/19/2024","0.5440","0.5467","0.5500","0.5408","13.95M","-0.49%"
"10/18/2024","0.5467","0.5442","0.5530","0.5396","21.19M","0.48%"
"10/17/2024","0.5441","0.5482","0.5665","0.5420","41.31M","-0.71%"
"10/16/2024","0.5480","0.5417","0.5538","0.5374","30.30M","1.18%"
"10/15/2024","0.5416","0.5484","0.5555","0.5315","45.96M","-1.22%"
"10/14/2024","0.5483","0.5319","0.5521","0.5283","30.54M","3.06%"
"10/13/2024","0.5320","0.5393","0.5395","0.5253","15.28M","-1.35%"
"10/12/2024","0.5393","0.5387","0.5434","0.5354","12.68M","0.11%"
"10/11/2024","0.5387","0.5305","0.5418","0.5296","19.50M","1.55%"
"10/10/2024","0.5305","0.5245","0.5448","0.5228","31.24M","1.14%"
"10/09/2024","0.5245","0.5312","0.5346","0.5212","17.81M","-1.24%"
"10/08/2024","0.5311","0.5287","0.5353","0.5212","18.38M","0.42%"
"10/07/2024","0.5289","0.5335","0.5458","0.5287","30.59M","-0.86%"
"10/06/2024","0.5335","0.5295","0.5372","0.5280","14.07M","0.76%"
"10/05/2024","0.5295","0.5339","0.5351","0.5262","19.36M","-0.82%"
"10/04/2024","0.5339","0.5217","0.5389","0.5150","38.84M","2.34%"
"10/03/2024","0.5217","0.5383","0.5445","0.5071","70.08M","-3.12%"
"10/02/2024","0.5385","0.5970","0.6066","0.5273","78.09M","-9.81%"
"10/01/2024","0.5971","0.6116","0.6341","0.5784","105.82M","-2.35%"
"09/30/2024","0.6115","0.6413","0.6544","0.6089","63.89M","-4.62%"
"09/29/2024","0.6411","0.6137","0.6646","0.6078","80.23M","4.46%"
"09/28/2024","0.6137","0.5885","0.6260","0.5858","84.11M","4.28%"
"09/27/2024","0.5885","0.5904","0.5970","0.5826","30.25M","-0.32%"
"09/26/2024","0.5904","0.5830","0.5964","0.5743","26.54M","1.29%"
"09/25/2024","0.5829","0.5911","0.5956","0.5826","17.31M","-1.39%"
"09/24/2024","0.5911","0.5846","0.5927","0.5814","21.39M","1.09%"
"09/23/2024","0.5847","0.5875","0.5959","0.5790","23.95M","-0.41%"
"09/22/2024","0.5871","0.5976","0.6051","0.5781","22.69M","-1.76%"
"09/21/2024","0.5976","0.5851","0.6120","0.5801","29.98M","2.15%"
"09/20/2024","0.5850","0.5870","0.5928","0.5765","28.44M","-0.32%"
"09/19/2024","0.5869","0.5853","0.5944","0.5811","29.77M","0.24%"
"09/18/2024","0.5855","0.5838","0.5856","0.5624","24.24M","0.27%"
"09/17/2024","0.5839","0.5865","0.5933","0.5789","25.30M","-0.44%"
"09/16/2024","0.5865","0.5706","0.5913","0.5597","33.13M","2.79%"
"09/15/2024","0.5706","0.5956","0.5956","0.5690","32.28M","-4.20%"
"09/14/2024","0.5956","0.5727","0.5991","0.5704","37.46M","4.00%"
"09/13/2024","0.5727","0.5624","0.5745","0.5559","33.32M","1.83%"
"09/12/2024","0.5624","0.5347","0.5883","0.5334","62.26M","5.18%"
"09/11/2024","0.5347","0.5407","0.5413","0.5232","16.48M","-1.11%"
"09/10/2024","0.5407","0.5395","0.5427","0.5337","16.12M","0.22%"
"09/09/2024","0.5395","0.5294","0.5429","0.5269","17.19M","1.91%"
"09/08/2024","0.5294","0.5249","0.5317","0.5209","9.02M","0.86%"
"09/07/2024","0.5249","0.5210","0.5328","0.5197","9.97M","0.75%"
"09/06/2024","0.5210","0.5444","0.5472","0.5028","39.39M","-4.30%"
"09/05/2024","0.5444","0.5580","0.5596","0.5403","19.91M","-2.44%"
"09/04/2024","0.5580","0.5573","0.5647","0.5328","28.56M","0.11%"
"09/03/2024","0.5574","0.5677","0.5724","0.5567","22.21M","-1.81%"
"09/02/2024","0.5677","0.5469","0.5686","0.5444","17.18M","3.73%"
"09/01/2024","0.5473","0.5662","0.5666","0.5437","14.03M","-3.34%"
"08/31/2024","0.5662","0.5668","0.5721","0.5625","8.93M","-0.07%"
"08/30/2024","0.5666","0.5621","0.5676","0.5466","31.69M","0.80%"
"08/29/2024","0.5621","0.5693","0.5766","0.5575","24.27M","-1.25%"
"08/28/2024","0.5692","0.5666","0.5844","0.5563","39.23M","0.46%"
"08/27/2024","0.5666","0.5874","0.6003","0.5539","42.39M","-3.54%"
"08/26/2024","0.5874","0.6000","0.6021","0.5789","34.21M","-2.12%"
"08/25/2024","0.6001","0.6126","0.6139","0.5954","22.32M","-2.06%"
"08/24/2024","0.6127","0.6110","0.6306","0.6046","30.98M","0.29%"
"08/23/2024","0.6109","0.5976","0.6157","0.5910","32.07M","2.23%"
"08/22/2024","0.5976","0.6002","0.6041","0.5920","25.45M","-0.43%"
"08/21/2024","0.6002","0.5937","0.6056","0.5859","36.19M","1.09%"
"08/20/2024","0.5937","0.5985","0.6148","0.5878","41.40M","-0.79%"
"08/19/2024","0.5984","0.5632","0.6087","0.5613","60.34M","6.25%"
"08/18/2024","0.5632","0.5667","0.5834","0.5630","17.68M","-0.58%"
"08/17/2024","0.5665","0.5637","0.5709","0.5612","9.90M","0.50%"
"08/16/2024","0.5637","0.5607","0.5707","0.5537","30.90M","0.54%"
"08/15/2024","0.5607","0.5687","0.5739","0.5510","41.65M","-1.41%"
"08/14/2024","0.5687","0.5770","0.5822","0.5641","38.36M","-1.42%"
"08/13/2024","0.5769","0.5683","0.5831","0.5626","43.00M","1.48%"
"08/12/2024","0.5685","0.5529","0.5793","0.5503","52.10M","2.82%"
"08/11/2024","0.5529","0.5839","0.5934","0.5459","41.17M","-5.36%"
"08/10/2024","0.5842","0.5807","0.6019","0.5780","38.64M","0.60%"
"08/09/2024","0.5807","0.6166","0.6245","0.5679","73.18M","-5.79%"
"08/08/2024","0.6164","0.6005","0.6421","0.5790","123.62M","2.72%"
"08/07/2024","0.6001","0.5060","0.6420","0.4924","177.16M","18.57%"
"08/06/2024","0.5061","0.4889","0.5185","0.4879","56.04M","3.54%"
"08/05/2024","0.4888","0.5229","0.5256","0.4320","162.69M","-6.52%"
"08/04/2024","0.5229","0.5559","0.5590","0.5137","32.21M","-5.94%"
"08/03/2024","0.5559","0.5606","0.5775","0.5407","39.61M","-0.86%"
"08/02/2024","0.5607","0.5965","0.5968","0.5465","47.61M","-5.94%"
"08/01/2024","0.5961","0.6231","0.6303","0.5687","62.59M","-4.32%"
"07/31/2024","0.6230","0.6276","0.6585","0.6222","76.56M","-0.75%"
"07/30/2024","0.6277","0.6019","0.6374","0.5954","69.99M","4.29%"
"07/29/2024","0.6019","0.6012","0.6123","0.5922","30.62M","0.10%"
"07/28/2024","0.6013","0.5955","0.6139","0.5913","25.18M","0.92%"
"07/27/2024","0.5958","0.6032","0.6091","0.5839","28.36M","-1.21%"
"07/26/2024","0.6031","0.5996","0.6093","0.5865","57.02M","0.58%"
"07/25/2024","0.5996","0.6181","0.6255","0.5848","67.19M","-3.01%"
"07/24/2024","0.6182","0.5975","0.6324","0.5914","67.81M","3.46%"
"07/23/2024","0.5975","0.6079","0.6168","0.5806","59.46M","-1.73%"
"07/22/2024","0.6080","0.5985","0.6229","0.5858","70.81M","1.60%"
"07/21/2024","0.5984","0.5937","0.6078","0.5737","45.28M","0.79%"
"07/20/2024","0.5937","0.5731","0.6046","0.5707","58.32M","3.56%"
"07/19/2024","0.5733","0.5697","0.5866","0.5408","90.35M","0.65%"
"07/18/2024","0.5696","0.6258","0.6368","0.5580","116.46M","-9.04%"
"07/17/2024","0.6262","0.5790","0.6375","0.5783","176.28M","8.10%"
"07/16/2024","0.5793","0.5371","0.5940","0.5327","185.01M","7.86%"
"07/15/2024","0.5371","0.5202","0.5401","0.5202","74.76M","3.23%"
"07/14/2024","0.5203","0.5257","0.5398","0.5138","76.05M","-1.05%"
"07/13/2024","0.5258","0.4745","0.5657","0.4737","158.09M","10.81%"
"07/12/2024","0.4745","0.4489","0.4775","0.4445","86.36M","5.70%"
"07/11/2024","0.4489","0.4388","0.4538","0.4363","34.44M","2.30%"
"07/10/2024","0.4388","0.4357","0.4425","0.4313","26.64M","0.71%"
"07/09/2024","0.4357","0.4316","0.4379","0.4273","25.52M","0.95%"
"07/08/2024","0.4316","0.4196","0.4435","0.4034","46.08M","2.88%"
"07/07/2024","0.4195","0.4489","0.4489","0.4183","18.53M","-6.53%"
"07/06/2024","0.4488","0.4251","0.4498","0.4235","22.83M","5.58%"
"07/05/2024","0.4251","0.4330","0.4332","0.3846","113.03M","-1.80%"
"07/04/2024","0.4329","0.4672","0.4697","0.4318","60.92M","-7.32%"
"07/03/2024","0.4671","0.4854","0.4868","0.4615","45.87M","-3.75%"
"07/02/2024","0.4853","0.4771","0.4890","0.4760","30.05M","1.72%"
"07/01/2024","0.4771","0.4760","0.4849","0.4754","30.29M","0.23%"
"06/30/2024","0.4760","0.4727","0.4782","0.4704","11.98M","0.70%"
"06/29/2024","0.4727","0.4716","0.4768","0.4716","8.60M","0.23%"
"06/28/2024","0.4716","0.4753","0.4810","0.4699","32.84M","-0.78%"
"06/27/2024","0.4753","0.4697","0.4770","0.4658","26.05M","1.19%"
"06/26/2024","0.4697","0.4758","0.4781","0.4657","30.30M","-1.28%"
"06/25/2024","0.4758","0.4742","0.4800","0.4731","32.10M","0.34%"
"06/24/2024","0.4742","0.4798","0.4821","0.4627","49.77M","-1.17%"
"06/23/2024","0.4798","0.4866","0.4890","0.4758","15.59M","-1.40%"
"06/22/2024","0.4866","0.4890","0.4896","0.4842","14.28M","-0.49%"
"06/21/2024","0.4890","0.4888","0.4957","0.4799","47.73M","0.04%"
"06/20/2024","0.4888","0.4934","0.5021","0.4884","41.70M","-0.89%"
"06/19/2024","0.4932","0.4908","0.4995","0.4869","48.75M","0.45%"
"06/18/2024","0.4910","0.5047","0.5096","0.4702","126.98M","-2.71%"
"06/17/2024","0.5047","0.4891","0.5206","0.4843","107.26M","3.17%"
"06/16/2024","0.4892","0.4907","0.4994","0.4878","24.59M","-0.31%"
"06/15/2024","0.4907","0.4745","0.5050","0.4741","27.09M","3.41%"
"06/14/2024","0.4745","0.4769","0.4812","0.4597","59.05M","-0.50%"
"06/13/2024","0.4769","0.4916","0.4916","0.4758","46.19M","-2.99%"
"06/12/2024","0.4916","0.4802","0.4976","0.4740","65.72M","2.37%"
"06/11/2024","0.4802","0.4969","0.4970","0.4716","79.93M","-3.36%"
"06/10/2024","0.4969","0.4987","0.5059","0.4934","29.38M","-0.36%"
"06/09/2024","0.4987","0.4927","0.4992","0.4909","16.32M","1.22%"
"06/08/2024","0.4927","0.4989","0.5009","0.4900","27.28M","-1.24%"
"06/07/2024","0.4989","0.5215","0.5280","0.4528","131.18M","-4.35%"
"06/06/2024","0.5216","0.5259","0.5280","0.5166","28.62M","-0.78%"
"06/05/2024","0.5257","0.5256","0.5324","0.5240","31.80M","0.02%"
"06/04/2024","0.5256","0.5199","0.5304","0.5184","50.14M","1.10%"
"06/03/2024","0.5199","0.5136","0.5228","0.5119","35.28M","1.23%"
"06/02/2024","0.5136","0.5187","0.5202","0.5082","19.32M","-0.96%"
"06/01/2024","0.5186","0.5177","0.5221","0.5175","13.63M","0.21%"
"05/31/2024","0.5175","0.5187","0.5255","0.5122","34.11M","-0.21%"
"05/30/2024","0.5186","0.5239","0.5283","0.5130","40.84M","-1.01%"
"05/29/2024","0.5239","0.5287","0.5330","0.5201","47.57M","-0.91%"
"05/28/2024","0.5287","0.5340","0.5354","0.5214","34.77M","-0.99%"
"05/27/2024","0.5340","0.5283","0.5409","0.5237","43.77M","1.10%"
"05/26/2024","0.5282","0.5416","0.5419","0.5257","18.08M","-2.47%"
"05/25/2024","0.5416","0.5358","0.5426","0.5332","22.95M","1.08%"
"05/24/2024","0.5358","0.5287","0.5374","0.5169","41.70M","1.30%"
"05/23/2024","0.5289","0.5270","0.5477","0.5078","123.50M","0.38%"
"05/22/2024","0.5269","0.5372","0.5382","0.5227","47.32M","-1.92%"
"05/21/2024","0.5372","0.5379","0.5572","0.5321","75.76M","-0.13%"
